,doi,Publication Date,Title,Authors,Abstract
10,10.20944/preprints202403.0705.v1,12 March 2024,"Elevated NET, Calprotectin and Neopterin Levels Discriminate between Disease Activity of COVID-19 as Evidenced by Need of Hospitalization for Patients in Northern Italy","Geir Hetland, Magne Kristoffer Fagerhol, Mohammad Reza Mirlashari, Lise Sofie Haug Nissen-Meyer, Stefania Croci, Paola Adele Lonati, Martina Bonacini, Carlo Salvarani, Chiara Marvisi, Caterina Bodio, Francesco Muratore, Maria Orietta Borghi, Pier Luigi Meroni","Coronavirus disease 2019 (COVID-19) displays clinical heterogeneity, but little information is available for patients with mild or very early disease. We aimed to characterize biomarkers that are useful in discriminating the hospitalization risk in a COVID-19 cohort from Northern Italy during the first pandemic wave.We enrolled and followed for four weeks 76 symptomatic SARS-CoV-2 positive patients and age/sex-matched healthy controls. Patients with mild disease were discharged (n.42), and the remaining were hospitalized (n.34). Blood was collected before any anti-inflammatory/immunosuppressive therapy and assessed for soluble C5b-9/C5a, H3-neutrophil extracellular traps (NET), calprotectin, DNase plasma levels by ELISA, and a panel of pro-inflammatory cytokines by ELLA.Calprotectin and NET levels discriminate between hospitalized and non-hospitalized patients, while DNase negatively correlates with NET levels; there are positive correlations between calprotectin and both NET and neopterin levels. Neopterin levels increase in patients at the beginning of the disease and more in hospitalized than non-hospitalized ones. C5a and sC5b-9, and other acute phase proteins correlate with neopterin, calprotectin, and DNase. Both NET and neopterin levels negatively correlate with platelet count.We show that calprotectin, NET, and neopterin are important proinflammatory parameters potentially useful in discriminating between COVID-19 patients at risk for hospitalization."
11,10.20944/preprints202403.0696.v1,12 March 2024,Epidemiological Study on a Wilson Disease Group of Patients,"Liviu Moraru, Mihaela-Alexandra Budianu, Isabela-Raluca Musteață, Toader Septimiu Voidazan","Background and Objectives: Wilson disease (WD) is a disorder of copper metabolism caused by genetic muta-tions in the ATP7B gene which lead to the accumulation of copper in the body. The aim of the present study is to investigate the severity of WD in patients in Romania. Materials and Methods: This study was conducted us-ing an online questionnaire consisting of 32 questions in a group of patients suffering from Wilson disease. Results: The study included 67 people aged 7 to 56 with WD. The most common symptoms of the participants were hepatic and neurological in 22 cases (32.8%). The most common neurological symptom in the assessed cases was muscle stiffness (49.5%), followed by tremor (45%), and speech disorders (40.5%). The Kay-ser-Fleischer ring was present in 50.7% of the participants. The most commonly used drug treatment in the participants was D-penicillamine (77.61%). Conclusions: The severity of WD is based on many aspects, the most important being early diagnosis and access to treatment throughout the year. The prognosis is favorable with early diagnosis and treatment, but it is crucial to diagnose individuals before they develop major symp-toms. Therefore, advances in WD screening can lead to an earlier diagnosis and better results."
12,10.20944/preprints202403.0645.v1,11 March 2024,Best Administration Schedule for Optimal Efficacy and Safety of Arsenic Trioxide Treatment in Chronic Graft versus Host Disease,"Dominique Rongvaux-Gaïda, Lieven Huysse, François Rieger, Carole Nicco",
13,10.20944/preprints202403.0625.v1,11 March 2024,No Evidence Of Sensory Neuropathy In A Traditional Mouse Model Of Idiopathic Parkinson’s Disease,"Mahvish Faisal, Anna Rusetskaya, Liis Vali, Pille Taba, Ave Minajeva, Miriam A Hickey","Parkinson’s disease (PD) is the second-most common neurodegenerative disorder worldwide and is diagnosed based upon motor impairments. Non-motor symptoms are well-recognized in PD, and peripheral neuropathy is a frequent but poorly appreciated non-motor sign. Study of how the central and peripheral sensory systems are affected can contribute to the development of targeted therapies and deepen the understanding of the pathophysiology of PD. Although the cause of sporadic PD is unknown, chronic exposure to the pesticide rotenone in humans increases the risk of development of PD. Here, we aimed to investigate whether peripheral neuropathy is present in a traditional model of PD. Mice receiving intrastriatal rotenone showed greatly reduced dopamine terminals in the striatum and reduction in tyrosine hydroxylase-positive neurons in the Substantia nigra pars compacta and developed progressive motor impairments in hindlimb stepping and rotarod but no change in spontaneous activity. Interestingly, repeated testing using gold-standard protocols showed no change in gut motility, a well-known non-motor symptom of PD. Importantly, we did not observe any change in heat, cold, or touch sensitivity, again based upon repeated testing with well-validated protocols that were statistically well-powered. Therefore, this traditional model fails to replicate PD, and our data again reiterate the importance of the periphery to the disorder that is PD."
14,10.20944/preprints202403.0587.v1,11 March 2024,The Many Faces of Metabolic Dysfunction-Associated Fatty Liver Disease Treatment: From the Mediterranean Diet to Fecal Microbiota Transplantation,"Ludovico Abenavoli, Maria Luisa Gambardella, Giuseppe Guido Maria Scarlata, Ilaria Lenci, Leonardo Baiocchi, Francesco Luzza","The gastrointestinal tract is inhabited by the gut microbiota. The main phyla are Firmicutes and Bacteroidetes. In non-alcoholic fatty liver disease, now renamed metabolic dysfunction-associated fatty liver disease (MAFLD), an increase in Firmicutes and Bacteroidetes abundance promotes its pathogenesis and evolution into non-alcoholic steatohepatitis, liver cirrhosis and hepatocellular carcinoma. For this reason, an early treatment is necessary to disfavor its progression. The aim of the present narrative review is to evaluate the different therapeutic approaches to MAFLD. The most important treatment for MAFLD is lifestyle changes. In this regard, the Mediterranean diet could be considered the gold standard in the prevention and treatment of MAFLD. In contrast, a Western diet should be discouraged. Probiotics and fecal microbiota transplantation seem to be valid, safe, and effective alternatives for MAFLD treatment. However, more studies with a longer follow up and with a larger cohort of patients are needed to underline the more effective ap-proaches to contrasting MAFLD."
15,10.20944/preprints202403.0577.v1,11 March 2024,Novel ATP2A2 Gene Mutation c.118G>A Causing Keratinocyte and Cardiomyocyte Disconnection in Darier Disease,"Andrea Frustaci, Alessandro De Luca, Romina Verardo, Valentina Guida, Maria Alfarano, Camilla Calvieri, Matteo Antonio Russo, Cristina Chimenti","Darier disease (DD) is an autosomal dominant disorder due to mutation of ATP2A2 gene causing an isolated skin manifestation based on keratinocyte disconnection and apoptosis. Systemic manifestations of DD have not been demonstrated so far although a high incidence of neuropsychiatric syndromes suggest an involvement of central nervous system. A Novel ATP2A2 Gene Mutation c.118G>A, causing keratinocyte and cardiomyocyte disconnection in Darier disease, is reported. Their common pathologic pathway, still unreported, was documented by both skin and left ventricular endomyocardial biopsy because of cardiac dilatation and dysfunction appeared several decades after skin manifestations.Keratinocyte disconnection was paralleled by cardiomyocyte separation at lateral junction. Cardiomyocyte separation was associated to cell disarray, sarcoplasmic reticulum dilatation and increased myocyte apoptosis. Clinically, hyperkeratotic skin papules were associated to chest pain, severe muscle exhaustion and ventricular arrhythmias that improved following administration of aminophylline, a phosphodiesterase inhibitor enhancing SERCA2 protein phosphorylation.Specific mutations of ATP2A2 gene may cause cardiac involvement in patients with DD. Cardiac pathologic changes are similar to those documented in the skin including cardiomyocyte disconnection that promotes precordial pain and cardiac arrhythmias. Phosphodiesterase inhibitors, enhancing SERCA2 protein phosphorylation may substantially attenuate the symptoms."
16,10.20944/preprints202403.0541.v1,8 March 2024,Severe Malaria in Angola: Clinical Profile and Disease Outcome among Adults from a Low-Endemic Area,"Inês Morais, Soraia Rodrigues, Aida Mas, Serguei Escalon, Adalzira Borrego, Fatima Nogueira, Maria Lina Antunes","Severe malaria is a major public health concern in Angola, particularly among adults, with limited data on clinical outcomes and manifestations. The study therefore assessed the clinical manifestations and outcome of severe Plasmodium falciparum malaria in adult patients admitted to Hospital Central Dr. António Agostinho Neto of Lubango, Angola. The study retrospectively reviewed the individual records of patients over 14 years old, admitted for severe malaria during the first trimester of 2021 and 2022. World Health Organization (WHO) criteria were used to define severity. A total of 640 patients were recorded into the study, 167 in 2021 and 473 in 2022, distributed across the departments; Intensive Care Unit (ICU; n=81), Medicine (MED; n=458) and Infectiology (INF; n=101). The median age was 26 years and 59.4% were males. The most common manifestation of severe malaria was renal impairment (37.4%). The overall mortality rate was 7% and decreased considerably from 10.2% in 2021 to 5.9% in 2022. The increase in malaria cases during 2022 with increased in prevalence of life-threatening signs like renal impairment, jaundice and impaired conscience, underscores the urgent need for enhanced malaria control and surveillance strategies to mitigate morbidity and mortality, highlighting the potential for antimalarial drug resistance."
17,10.20944/preprints202403.0531.v1,8 March 2024,Challenges in Echocardiography for the Diagnosis and Prognosis of Non-ischemic Hypertensive Heart Disease,"Nikolaos PE Kadoglou, Angeliki Mouzarou, Nikoleta Hadjigeorgiou, Ioannis Korakianitis, Michael Myrianthefs","It has been well established that hypertension is considered as a predominant risk factor for the development of cardiovascular diseases. Despite the link between hypertension and cardiovascular diseases, hypertension may directly affect the cardiac function leading in heart failure, mostly with preserved ejection fraction (HFpEF). There are echocardiographic findings indicating hypertensive heart disease (HHD) defined as altered cardiac morphology (left ventricular concentric hypertrophy, left atrium dilatation) and function (systolic or diastolic dysfunction) in patients with persistent hypertension irrespective of cardiac pathologies to which it contributes, such as coronary artery disease and kidney function impairment. In addition to classical echocardiographic parameters, novel indices, like speckle tracking of the left ventricle and left atrium, 3D volume evaluation, myocardial work in echocardiography may provide more accurate and reproducible diagnostic and prognostic data in patients with hypertension. However, their use is still underappreciated. An early detection and prompt therapy of HHD will greatly improve the prognosis. Hence, in the present review, we shed light on the role of echocardiography in the contemporary diagnostic and prognostic approach of HHD."
18,10.20944/preprints202403.0465.v1,8 March 2024,Stable Variable Selection Method with Shrinkage Regression Applied to the Selection of Genetic Variants Associated with Alzheimer’s Disease,"Vera Afreixo, Ana Helena Tavares, Vera Enes, Miguel Pinheiro, Leonor Rodrigues, Gabriela Moura","In this work we looked for a stable and accurate procedure to perform feature selection in datasets with a much higher number of predictors than individuals, as in Genome-Wide Association Studies. Due to the instability in feature selection when many potential predictors are measured, a variable selection procedure is proposed that combines several replications of shrinkage regression models. A weighted formulation is used to define the final predictors. The procedure is applied to investigate Single Nucleotide Polymorphisms (SNPs) predictors associated to Alzheimer’s disease in the Alzheimer’s disease Neuroimaging Initiative (ADNI) dataset. Two data scenarios are investigated: one considering only the set of SNPs and another with the covariates age, sex, educational level and APOE4 genotype. The SNP rs2075650 and the APOE4 genotype are given as risk factors for AD, which is in line with the literature, and other four new SNPs are pointed, opening new hypotheses for in vivo analyses. These experiments demonstrate the potential of the new method for stable feature selection."
19,10.20944/preprints202403.0467.v1,8 March 2024,Exploring the Role of Circulating Cell-Free DNA in Disease Diagnosis and Therapy,Mohammad Odah,"Recent advancements in molecular diagnostics have highlighted the potential of circulating cell-free DNA (ccfDNA) as a biomarker in various diseases. This study aims to explore the role of ccfDNA in the early diagnosis, prognosis, and therapeutic monitoring of diseases, with a focus on oncology. We conducted a comprehensive review and analysis of current literature, combined with experimental approaches involving advanced genomic sequencing and bioinformatics techniques. Our research systematically characterizes the molecular composition of ccfDNA, including its origins, size distribution, and methylation patterns, across different disease states. Furthermore, we investigate the dynamics of ccfDNA release and clearance in the bloodstream, elucidating mechanisms that could influence its diagnostic accuracy. In the context of cancer, we analyze the correlation between tumor-derived ccfDNA and disease progression, response to therapy, and overall survival. Our findings indicate that ccfDNA holds promise as a non-invasive biomarker for early disease detection, real-time monitoring of treatment efficacy, and potentially, predicting relapse. This study contributes to the growing field of liquid biopsies and opens new avenues for personalized medicine, emphasizing the need for standardized protocols in ccfDNA analysis to maximize its clinical utility. The implications of our findings extend beyond oncology, suggesting potential applications of ccfDNA in other pathological conditions."
20,10.20944/preprints202403.0486.v1,8 March 2024,Endoscopic and Histopathological Findings in the Upper Gastrointestinal Tract in Pediatric Chron’s Disease,"Dunja Putniković, Jovan Jevtić, Nina Ristić, Ivan D Milovanovich, Miloš Đuknić, Milica Radusinović, Nevena Popovac, Irena Đorđić, Zoran Leković, Radmila M Janković","Crohn’s disease (CD) is a progressive, multifactorial, immune-mediated disease characterized by chronic inflammation of any part of the gastrointestinal (GI) tract. Pediatric patients present with a more extensive form of the disease, especially in the upper GI tract with various histopathological inflammatory patterns. Our study aims to analyze the endoscopic and histopathological findings in children with diagnosed CD and compare results on the initial and follow-up tests. Our study included 100 children and adolescents with CD, with performed endoscopic and histopathological (HP) procedures. The results of multiple biopsies performed in these 8 years were matched and compared. We found a statistically significant decrease in stool changes, weight loss, and abdominal pain as presenting symptoms, and in the fecal calprotectin levels. On esophagogastroduodenoscopy and ileo-colonoscopy 36.59% and 64.86% patients had specific findings, respectively. Non-caseating granulomas were found on 9% of oesophageal, 18% of gas-tric, and 12% of duodenal biopsies. In the lower GI tract, we have observed a disease progression in the rectum and descending colon between the first and second biopsies. Our study showed that more than a third of patients had specific endoscopic (36.59%) and histopathologic (32%) findings in the upper GI tract, and an additional 23% had HP findings highly suggestive of CD. We demonstrated the importance of regular endoscopic and histopathological assessments of pediatric CD patients."
21,10.20944/preprints202403.0457.v1,8 March 2024,Computational Exploration and Molecular Dynamic Simulation for the Discovery of Antiviral Agents Targeting Newcastle Disease Virus,"Iqra Ali, Ihtisham Ul Haq, Nimra Imtiaz, Muhammad Nasir Iqbal, Rafi ur Rahman, Wadi B. Alonazi, Muhammad Asif Rasheed","Newcastle disease (ND) is a viral infection that affects domestic and wild type birds especially poultry and establishing serious economic costs for poultry industry. Newcastle disease virus’ (NDV) HN membrane receptor is attractive therapeutic candidate, contributes to pathogenicity with various functions such as fusion and prevent viral self-agglutination to permit viral spread. No validated HN inhibitor has been reported yet. However, the purpose of current study was to determine potential compounds via pharmacophore-based screening of natural molecules to inhibit HN receptor of NDV. Physicochemical characteristics and phylogenetic analysis were determined to elucidate structural information and phylogeny of target protein across different species as well as members of gene family. Fill missing residues of HN target protein and evaluated via PROCHECK and VERIFY 3D. We employed shape and feature-based pharmacophore model and screen natural compound’s library through numerous scoring schemes. Top 48 hits with 0.8860 pharmacophore fit score were subjected towards structure-based molecular docking. Top 9 compounds was observed witihin the range of -8.9 to -7.5 kcal/mol binding score. Five best-fitting compounds in complex with HN receptor were subjected to predict biological activity and ADMET analysis. Top two hits were selected for MD simulations to validate binding modes and structural stability. Upon scrutinization, A1 (ZINC05223166) emerges as potential HN inhibitor to treat ND, necessitating further validation via clinical trials."
22,10.20944/preprints202403.0463.v1,8 March 2024,,"Caroline Cleopatra Chisenga, Bernard Phiri, Harriet Ng'ombe, Mutinta Muchimba, Fraser Liswaniso, Biana Bernshtein, Adam F Cunningham, David Sack, Samuel Bosomprah","Saliva, as a diagnostic medium, offers a promising alternative to blood by virtue of its non-invasive collection, which enhances patient compliance, especially in paediatric and geriatric populations. In this study, we assessed the utility of saliva as a non-invasive medium for measuring V. cholerae-specific serum antibodies in naturally infected individuals. We tested paired serum and saliva samples obtained from a total of 63 cholera patients enrolled in a cohort study. Vibriocidal antibodies assay (IgM/IgG) as markers for accurate determination was used to determine cholera specific antibody levels. Using receiver operating characteristics (ROC) curve, we found that the best cut-off that maximizes (sensitivity + specificity) is 10 titers. At this saliva titer, the sensitivity is 76.9% (95%CI: 60.9%, 87.7%) and specificity is 80.0% (95%CI: 56.6%, 92.5%). Using Spearman’s correlation coefficient, we also found evidence of a positive correlation between Vibrio Cholerae saliva and serum antibodies (rho=0.66, p&lt;0.001). In conclusion, saliva-based diagnostic cholera tests has high diagnostic accuracy, and would be advantageous, cheaper, and quicker for early diagnosis of severe cholera outcomes."
23,10.20944/preprints202403.0396.v1,8 March 2024,Food Beliefs and Risk of Orthorexia in Patients with Inflammatory Bowel Disease,"Francesca Maria Di Giorgio, Stefania Pia Modica, Marica Saladino, Stefano Muscarella, Stefania Ciminnisi, Piero Luigi Almasio, Salvatore Petta, Maria Cappello","Background: Patients with Inflammatory Bowel Disease (IBD) believe that diet is a key factor in the pathogenesis of their disease and in worsening their symptoms; they often follow restrictive diets that can lead to malnutrition, anxiety, and stress. Recent studies have found an association between eating disorders and IBD, particularly anorexia nervosa and ARFID (Avoidant Restrictive Food Intake Disorder). None of these studies report the association with orthorexia nervosa, that is the obsession with healthy and natural foods. Aim: to assess the risk of orthorexia nervosa in patients with IBD. Methods: 158 consecutive subjects were recruited, including 113 patients diagnosed with IBD and 45 controls. The Donini standardized questionnaire ORTO-15 was administered to assess the risk of orthorexia; clinical and demographic data were also collected. Results: patients with IBD have a prevalence of orthorexia of 77%, significantly higher than the 47% observed in the control group. In patients with IBD, the risk of orthorexia is associated with lower BMI and history of previous surgery. Conclusion: Many patients with IBD develop orthorexia nervosa  that impacts the patient's psychological and social sphere, exposes them to a high risk of nutritional deficiencies, and affects  quality of life. Further high quality studies are warranted to evaluate the clinical impact of orthorexia and its correlation with clinical features and frank eating disorders."
